#kidid,kidid+1,F0(GHz),Q
0.0,1.0,nan,nan
1.0,2.0,nan,nan
2.0,3.0,399.821685293,320.872317875
3.0,4.0,389.057196243,408.977075054
4.0,5.0,378.851848397,316.556602499
5.0,6.0,368.831759943,404.668327208
6.0,7.0,358.685805364,266.816187533
7.0,8.0,349.458726122,374.352996986
8.0,9.0,340.118215867,322.47822261
9.0,10.0,331.117529735,367.568718645
10.0,11.0,322.42394802,380.815980662
11.0,12.0,313.816199129,383.963580335
12.0,13.0,305.559525201,278.921889341
13.0,14.0,297.269170982,352.995070075
14.0,15.0,289.482081062,454.41287087
15.0,16.0,281.600457986,469.946055289
16.0,17.0,274.163241319,301.302080481
17.0,18.0,266.847799137,301.991103606
18.0,19.0,259.763470372,299.035283699
19.0,20.0,252.786721587,311.694033885
20.0,21.0,245.986319492,305.52382561
21.0,22.0,239.415087571,346.262439765
22.0,23.0,232.95671519,344.83101458
23.0,24.0,nan,nan
24.0,25.0,220.664787028,361.894699912
25.0,26.0,214.825919939,282.65798467
26.0,27.0,209.096157627,422.395437781
27.0,28.0,387.518530309,458.513785982
28.0,29.0,377.261842202,382.446568105
29.0,30.0,367.175042118,359.503674992
30.0,31.0,357.533923058,346.300346181
31.0,32.0,348.145714215,345.339621559
32.0,33.0,338.810761822,364.654081805
33.0,34.0,330.000556196,340.001362179
34.0,35.0,321.218317654,343.475024892
35.0,36.0,312.655392086,317.285896635
36.0,37.0,304.367442962,335.274857267
37.0,38.0,296.149381068,452.766523915
38.0,39.0,288.237644371,288.202554074
39.0,40.0,280.681729999,421.756388517
40.0,41.0,273.096544818,437.274967988
41.0,42.0,265.750597483,359.13364227
42.0,43.0,258.633342186,382.584568036
43.0,44.0,251.736694522,358.662948411
44.0,45.0,245.021722383,330.527138128
45.0,46.0,238.545083224,346.480998966
46.0,47.0,232.110396742,362.197138733
47.0,48.0,226.207910977,182.146131133
48.0,49.0,219.880542477,328.09524015
49.0,50.0,213.972112786,377.9125264
50.0,51.0,208.227049088,347.877443768
51.0,52.0,386.119396447,392.060935115
52.0,53.0,375.93398578,423.056602905
53.0,54.0,365.805539835,301.181236991
54.0,55.0,356.239407081,372.443633072
55.0,56.0,346.756618267,341.354738731
56.0,57.0,337.668059974,350.917344303
57.0,58.0,328.759426099,325.115372754
58.0,59.0,319.974405157,316.385581711
59.0,60.0,311.107967338,430.86577942
60.0,61.0,303.2082138,446.730666084
61.0,62.0,295.159649915,337.731535028
62.0,63.0,287.121032677,401.720919425
63.0,64.0,279.455081218,267.425441855
64.0,65.0,272.12812386,352.197761513
65.0,66.0,264.78882669,417.791169379
66.0,67.0,257.75094933,362.067342332
67.0,68.0,250.760878156,322.188429221
68.0,69.0,244.084661195,335.06475074
69.0,70.0,237.516745348,317.241059581
70.0,71.0,231.027248339,339.339120424
71.0,72.0,224.927366622,359.478292035
72.0,73.0,218.96559928,370.106808742
73.0,74.0,213.175373362,290.863196237
74.0,75.0,207.503431506,405.870564447
75.0,76.0,384.670914725,336.391315624
76.0,77.0,374.497611948,305.286816321
77.0,78.0,364.442096051,332.17441341
78.0,79.0,354.969220076,386.103919971
79.0,80.0,345.462492448,328.678488814
80.0,81.0,336.394844856,311.397310709
81.0,82.0,327.038693264,296.534681446
82.0,83.0,318.739692634,372.635358881
83.0,84.0,310.182108185,456.720336869
84.0,85.0,302.071970605,287.32018595
85.0,86.0,293.831960047,391.515438268
86.0,87.0,286.037359684,321.17157591
87.0,88.0,278.473284615,412.270844131
88.0,89.0,270.967195541,370.548403975
89.0,90.0,263.655457887,315.750998438
90.0,91.0,256.670509996,299.605756025
91.0,92.0,249.773848804,333.514284476
92.0,93.0,243.151247351,342.20027329
93.0,94.0,236.635827328,330.065651768
94.0,95.0,230.378770944,368.011861377
95.0,96.0,224.046359614,350.508428735
96.0,97.0,218.138979282,370.215712778
97.0,98.0,212.280721845,384.870811851
98.0,99.0,206.606914353,388.483716163
99.0,100.0,383.014223978,291.325409624
100.0,101.0,372.827874878,302.162857149
101.0,102.0,363.189412107,401.56743239
102.0,103.0,353.625004605,313.568670255
103.0,104.0,344.199990403,346.904720412
104.0,105.0,335.053112162,347.218407621
105.0,106.0,326.211417485,330.016239591
106.0,107.0,317.634252259,347.929984154
107.0,108.0,309.084171988,282.3600464
108.0,109.0,300.706655276,332.341717386
109.0,110.0,292.857118024,400.28963833
110.0,111.0,284.855657065,332.342173224
111.0,112.0,277.474335749,335.345262741
112.0,113.0,269.998703613,434.632905885
113.0,114.0,262.773841277,399.135240877
114.0,115.0,255.785505542,383.400800087
115.0,116.0,248.885339931,352.584794775
116.0,117.0,242.157495828,332.247370985
117.0,118.0,235.775004746,303.062557575
118.0,119.0,229.389248258,350.457856439
119.0,120.0,223.281602106,370.565606984
120.0,121.0,217.282376971,374.862634711
121.0,122.0,211.454106654,289.468226452
122.0,123.0,205.947499858,343.957317313
123.0,124.0,391.836504549,394.006814785
124.0,125.0,381.436891335,325.135198948
125.0,126.0,371.291933954,397.475534469
126.0,127.0,361.713761032,433.013150077
127.0,128.0,352.066706695,309.428261252
128.0,129.0,342.782417332,360.28435499
129.0,130.0,333.807355772,345.176117024
130.0,131.0,324.929710986,283.589531848
131.0,132.0,316.350491329,310.407699539
132.0,133.0,307.672326894,345.481811122
133.0,134.0,299.686285844,473.19422426
134.0,135.0,291.59990069,291.337267751
135.0,136.0,283.871980534,469.729398392
136.0,137.0,268.852771005,288.597568461
137.0,138.0,276.200710288,395.934437234
138.0,139.0,261.745738356,313.913893358
139.0,140.0,254.730313213,275.432201957
140.0,141.0,247.922686926,346.248663302
141.0,142.0,241.24658797,325.677136739
142.0,143.0,234.772853784,316.633212869
143.0,144.0,228.555654568,322.624567487
144.0,145.0,222.306579018,390.798294448
145.0,146.0,216.661143745,298.801639343
146.0,147.0,210.671539656,416.508638653
147.0,148.0,205.075469739,302.49048239
148.0,149.0,390.362258279,431.113110624
149.0,150.0,370.059652514,461.724194924
150.0,151.0,379.963282906,396.415170382
151.0,152.0,359.88683694,399.914140435
152.0,153.0,350.605253612,386.180193058
153.0,154.0,341.514349309,304.669069545
154.0,155.0,332.459125555,282.169964471
155.0,156.0,323.608422758,331.289842574
156.0,157.0,315.158065577,294.955308849
157.0,158.0,306.644076976,446.93457421
158.0,159.0,298.591817129,303.274828209
159.0,160.0,290.424813291,442.110989604
160.0,161.0,282.770582518,284.115719689
161.0,162.0,275.284445944,400.766035038
162.0,163.0,267.825378105,416.069494313
163.0,164.0,260.743550397,432.878745716
164.0,165.0,253.732960201,341.08828799
165.0,166.0,246.955609461,342.091579369
166.0,167.0,240.356838976,351.442987633
167.0,168.0,233.91346779,324.571488997
168.0,169.0,227.62079487,370.914350407
169.0,170.0,221.548770889,282.793729077
170.0,171.0,215.607452276,384.793031569
171.0,172.0,209.833702038,310.733513305
172.0,173.0,388.079097735,269.730198286
173.0,174.0,378.077262076,255.93741563
174.0,175.0,367.663883514,335.159669587
175.0,176.0,358.208991105,455.799246785
176.0,177.0,348.711028916,342.09492271
177.0,178.0,339.477004119,317.780143055
178.0,179.0,321.761748114,307.159599065
179.0,180.0,330.584084329,340.406352002
180.0,181.0,313.164684112,364.928727204
181.0,182.0,304.989287467,448.779882004
182.0,183.0,296.808538725,246.766288964
183.0,184.0,288.863571876,358.682099561
184.0,185.0,281.185107472,287.516369078
185.0,186.0,273.733455973,346.78637061
186.0,187.0,266.323041129,398.179939177
187.0,188.0,259.146722092,333.372231845
188.0,189.0,245.505113477,310.927257953
189.0,190.0,238.937728815,344.533300289
190.0,191.0,232.526821769,321.826505256
191.0,192.0,220.277120498,302.080830143
192.0,193.0,214.434928302,346.936197293
193.0,194.0,208.668336092,324.220142787
194.0,195.0,386.571415213,364.863747625
195.0,196.0,376.317782633,341.484326799
196.0,197.0,366.454119411,381.9977794
197.0,198.0,357.00027012,302.216103561
198.0,199.0,347.364235092,336.060685776
199.0,200.0,338.220460166,338.887904205
200.0,201.0,329.391930766,361.124041001
201.0,202.0,320.603186624,381.137445015
202.0,203.0,312.062868544,303.052949153
203.0,204.0,303.965905994,327.140644683
204.0,205.0,295.52921302,327.103162615
205.0,206.0,287.777879681,330.14350697
206.0,207.0,280.080448119,385.979111294
207.0,208.0,272.551857274,274.187695502
208.0,209.0,265.135975508,266.978203638
209.0,210.0,258.188442065,283.917716142
210.0,211.0,251.24881733,321.04514006
211.0,212.0,244.551166189,313.306839928
212.0,213.0,238.115867054,258.163945963
213.0,214.0,231.637730987,252.401076322
214.0,215.0,225.302904227,248.872699977
215.0,216.0,219.434990111,346.431572777
216.0,217.0,213.545916751,307.076589662
217.0,218.0,207.882750747,285.424178834
